LinkedIn Industry Name,Cluster Name
Construction,Construction and Building
Residential Building Construction,Construction and Building
Nonresidential Building Construction,Construction and Building
Utility System Construction,Construction and Building
Specialty Trade Contractors,General Manufacturing
Building Equipment Contractors,Equipment and Machinery Manufacturing
Manufacturing,General Manufacturing
Wood Product Manufacturing,Metal and Wood Products
Primary Metal Manufacturing,General Manufacturing
Machinery Manufacturing,Equipment and Machinery Manufacturing
Industrial Machinery Manufacturing,Equipment and Machinery Manufacturing
Commercial and Service Industry Machinery Manufacturing,Equipment and Machinery Manufacturing
Metalworking Machinery Manufacturing,Equipment and Machinery Manufacturing
Communications Equipment Manufacturing,Equipment and Machinery Manufacturing
Electrical Equipment Manufacturing,Equipment and Machinery Manufacturing
Transportation Equipment Manufacturing,Equipment and Machinery Manufacturing
Motor Vehicle Manufacturing,Automotive Industry
Motor Vehicle Parts Manufacturing,Equipment and Machinery Manufacturing
Dairy Product Manufacturing,Chemical and Agricultural Products
Beverage Manufacturing,Food and Beverage Industries
Tobacco Manufacturing,General Manufacturing
Apparel Manufacturing,General Manufacturing
Chemical Manufacturing,General Manufacturing
Utilities,Construction and Building
Natural Gas Distribution,"Energy, Mining, and Oil Industries"
Rail Transportation,Transportation and Logistics Support
Truck Transportation,Transportation and Logistics Support
Pipeline Transportation,Transportation and Logistics Support
Warehousing and Storage,Transportation and Warehousing
Telecommunications,Automotive Industry
Insurance Carriers,Transportation and Logistics Support
Real Estate,Real Estate and Office Services
Consumer Goods Rental,Furniture and Home Goods
Legal Services,Professional and Business Services
Administrative and Support Services,Administrative and Support Services
Telephone Call Centers,Real Estate and Office Services
Medical and Diagnostic Laboratories,Research and Biotechnology
Home Health Care Services,Healthcare and Wellness
Hospitals,Healthcare and Wellness
Individual and Family Services,Professional and Business Services
Spectator Sports,Performing Arts and Sports
Amusement Parks and Arcades,Performing Arts and Sports
Accommodation and Food Services,Food and Beverage Industries
Repair and Maintenance,Administrative and Support Services
Personal and Laundry Services,Professional and Business Services
Personal Care Services,Professional and Business Services
Civic and Social Organizations,Government and Public Administration
Defense and Space Manufacturing,General Manufacturing
Computer Hardware Manufacturing,Equipment and Machinery Manufacturing
Software Development,Automotive Industry
